augmentation,filters,blocks_per_stage,dense_units,Pooling,best_val_accuracy,best_train_accuracy,train_mse,test_mse
True,64_128_256,2,128_64,True,0.8784000277519226,0.9986799955368042,0.0658392936159056,0.0700349280474735
True,64_128_256,2,128_64,False,0.8720999956130981,0.9991599917411804,0.0655681752494365,0.0697483537318942
True,64_128_256,2,256_128_64,True,0.8715999722480774,0.9980999827384948,0.0659154403090853,0.0702362780143047
True,64_128_256,2,256_128_64,False,0.8676999807357788,0.9967600107192992,0.0687179384324667,0.0719844975207595
True,64_128_256,3,128_64,True,0.8766999840736389,0.9967799782752992,0.0687809055148868,0.0715745099123843
True,64_128_256,3,128_64,False,0.8726999759674072,0.9988800287246704,0.0661316609798793,0.0703642301971305
True,64_128_256,3,256_128_64,True,0.8812999725341797,0.9966400265693665,0.0682972207396696,0.0711110600933907
True,64_128_256,3,256_128_64,False,0.8700000047683716,0.9964600205421448,0.0680515227276007,0.0715194636785011
True,64_128_256_512,2,128_64,True,0.8730000257492065,0.998960018157959,0.066683011757839,0.0706260732724123
True,64_128_256_512,2,128_64,False,0.8715000152587891,0.998520016670227,0.0686408047234339,0.0719023856866029
True,64_128_256_512,2,256_128_64,True,0.8666999936103821,0.9973400235176086,0.0690382051454533,0.0720588372150157
True,64_128_256_512,2,256_128_64,False,0.8623999953269958,0.998420000076294,0.0668855063266848,0.0708849311078452
True,64_128_256_512,3,128_64,True,0.8752999901771545,0.9992600083351136,0.0661306012504497,0.0703036367531553
True,64_128_256_512,3,128_64,False,0.8702999949455261,0.9993199706077576,0.0659243913992589,0.0701506721964251
True,64_128_256_512,3,256_128_64,True,0.871399998664856,0.9991000294685364,0.0664909783291835,0.0705828941304233
True,64_128_256_512,3,256_128_64,False,0.8676000237464905,0.998740017414093,0.0666272574259323,0.0706485411821667
False,64_128_256,2,128_64,True,0.8734999895095825,0.9985799789428712,0.0660693150357101,0.0702244461818914
False,64_128_256,2,128_64,False,0.866599977016449,0.9970399737358092,0.0696935185296806,0.0722874958702292
False,64_128_256,2,256_128_64,True,0.8687000274658203,0.9972400069236756,0.0672001308921389,0.0710575882619582
False,64_128_256,2,256_128_64,False,0.8636000156402588,0.9965000152587892,0.0684091464686812,0.0717734417027283
False,64_128_256,3,128_64,True,0.8805000185966492,0.9990000128746032,0.0658877745561226,0.0698832088581425
False,64_128_256,3,128_64,False,0.8709999918937683,0.9979599714279176,0.0679844028647291,0.0716439354334566
False,64_128_256,3,256_128_64,True,0.8741999864578247,0.997219979763031,0.0666145464573899,0.070316131315465
False,64_128_256,3,256_128_64,False,0.8737999796867371,0.9968199729919434,0.0668514084693772,0.0706496268800502
False,64_128_256_512,2,128_64,True,0.8711000084877014,0.9994000196456908,0.0657277921442613,0.0700892973983126
False,64_128_256_512,2,128_64,False,0.8640999794006348,0.998740017414093,0.0674862571609354,0.0714882203988628
False,64_128_256_512,2,256_128_64,True,0.8675000071525574,0.998520016670227,0.0666013158278159,0.070712621801733
False,64_128_256_512,2,256_128_64,False,0.8616999983787537,0.9984800219535828,0.0661046281650942,0.0703421729576764
False,64_128_256_512,3,128_64,True,0.871399998664856,0.9991000294685364,0.0675984228058855,0.071045857422151
False,64_128_256_512,3,128_64,False,0.8702999949455261,0.9982799887657166,0.0684741423181122,0.0714170829242156
False,64_128_256_512,3,256_128_64,True,0.8723000288009644,0.998960018157959,0.0657745601908923,0.0699014122278201
False,64_128_256_512,3,256_128_64,False,0.8675000071525574,0.9977399706840516,0.0679877622649768,0.0714375448069169
True,64_128_256,3,256_128_64,True,0.8787999749183655,0.9957200288772583,0.06814554890995071,0.07100340992385559
