Model,MAE,RMSE,R2,MAE_Ir,MAE_Vr,Train_sec,Epochs
RandomForest,0.00488,0.02668,0.9661,0.00501,0.00476,0.3,—
XGBoost,0.00853,0.02628,0.9665,0.00914,0.00793,1.5,—
LightGBM,0.00876,0.02722,0.9644,0.00947,0.00806,1.4,—
GaussianProcess,0.01087,0.03694,0.9355,0.01175,0.01,1411.0,—
Highway_Net,0.01317,0.03483,0.9428,0.01572,0.01063,27.4,58.0
Conv1D_MLP,0.01365,0.0326,0.9499,0.01602,0.01129,41.9,100.0
Wide_and_Deep,0.01468,0.0365,0.9386,0.01679,0.01257,41.7,100.0
Residual_MLP,0.01648,0.03563,0.9384,0.01732,0.01563,37.5,79.0
Original_MLP,0.01798,0.04583,0.8927,0.01953,0.01644,39.2,100.0
SVR,0.01912,0.074,0.6855,0.01759,0.02065,6.3,—
Deep_Dropout,0.02243,0.04949,0.883,0.028,0.01686,37.1,88.0
ElasticNet,0.0702,0.11181,0.3932,0.08858,0.05183,0.0,—
BayesianRidge,0.07066,0.11181,0.3933,0.08909,0.05222,0.0,—
Ridge,0.07069,0.11181,0.3933,0.08911,0.05227,0.0,—
Attention_MLP,0.09381,0.15403,-0.0,0.13442,0.05319,17.0,33.0
